id,genre,track_name,artist_name,valence,energy,acousticness,danceability,liveness,loudness,tempo,speechiness,time_signature,key,instrumentalness,mood_encoded,mood
2Xt2ir0hgXtcfFlAx4rdu9,acoustic,Scene One - James Dean & Audrey Hepburn,Sleeping With Sirens,0.569,0.579,0.182,0.58,0.25,-6.219,77.474,0.0346,4,11,0.0,3,Sad
6Zewjs7at1sPyc03lUoAHB,acoustic,Save Your Scissors,City and Colour,0.567,0.647,0.815,0.439,0.0928,-5.634,153.932,0.0274,4,11,0.0,3,Sad
46XMysg4VurmyAQ28tshqz,acoustic,The Mess I Made,Parachute,0.173,0.591,0.0153,0.405,0.199,-5.129,165.377,0.0339,4,6,0.0,3,Sad
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.11,0.849,0.601,0.25,-13.245,142.68,0.0618,3,6,0.0,3,Sad
3k9qjgu8zVKTEuJVJIYyc0,acoustic,Just Breathe,Pearl Jam,0.302,0.349,0.714,0.453,0.0835,-11.077,107.791,0.0289,4,0,7.94e-05,3,Sad
7EDxtPOBjKETkd5N0wjCt5,acoustic,The Scientist (feat. Hannah Trigwell),Boyce Avenue,0.21,0.256,0.704,0.379,0.0907,-11.761,155.469,0.0282,4,8,0.0,3,Sad
5ULhLmoyMiCyd3a2pQZYsw,acoustic,Everything'll Be Alright (Will's Lullaby),Joshua Radin,0.395,0.157,0.693,0.53,0.113,-18.86,171.784,0.0354,4,11,0.197,3,Sad
4oBEeMxkuW4t7a8qIupetG,acoustic,Knocking On Heaven's Door,Bill West,0.3,0.278,0.758,0.573,0.0975,-11.316,135.822,0.0303,4,7,0.00351,3,Sad
4NRWBGBIMmXPRKMvKwXEAL,acoustic,"Read All About It, Pt. III",Read All About It,0.215,0.29,0.945,0.693,0.109,-7.313,97.04,0.0291,4,0,0.0,3,Sad
277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,0.432,0.234,0.89,0.347,0.111,-16.237,54.455,0.0358,4,5,0.278,3,Sad
3xFvgh4mvJvBH2tf1tFJYl,acoustic,Bubble Toes,Jack Johnson,0.683,0.513,0.667,0.606,0.374,-11.365,94.119,0.132,4,7,0.031,3,Sad
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.44,0.536,0.112,0.584,0.456,-8.158,126.996,0.0279,4,10,0.0,3,Sad
5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.627,0.849,0.00208,0.552,0.144,-3.996,89.8,0.0675,4,1,0.0,1,Energetic
10ViidwjGLCfVtGPfdcszR,acoustic,Home,Edward Sharpe & The Magnetic Zeros,0.127,0.59,0.32,0.545,0.124,-6.693,111.739,0.0327,4,2,0.000389,3,Sad
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238,0.902,0.595,0.114,-7.565,91.184,0.0287,4,11,0.000506,3,Sad
6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.147,0.857,0.407,0.0913,-8.822,141.284,0.0355,3,2,2.89e-06,3,Sad
3YPiRYIUFlcQ0aaLGmeswS,acoustic,Sunburn - Deluxe Edition,Ed Sheeran,0.234,0.098,0.865,0.464,0.101,-12.119,78.864,0.0376,4,10,0.0,3,Sad
5sM2GI0vMNZL7tvfPQfByV,acoustic,Guaranteed,Eddie Vedder,0.127,0.00679,0.91,0.362,0.106,-12.257,100.466,0.0416,4,7,0.103,3,Sad
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242,0.835,0.498,0.133,-12.238,153.744,0.0257,4,9,0.536,3,Sad
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337,0.805,0.635,0.142,-12.125,135.826,0.0288,4,3,0.00256,3,Sad
5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,0.658,0.284,0.81,0.556,0.187,-15.177,130.009,0.0302,4,10,9.54e-05,3,Sad
4yzgjSHWy5E8fKflgwaKQh,acoustic,Come As You Are,Nirvana,0.581,0.79,0.532,0.684,0.0846,-8.714,119.196,0.0416,4,5,0.00183,2,Happy
7GILkDXz9y9x5KPHBKdrHA,acoustic,Spring för livet,Sara Varga,0.598,0.572,0.293,0.786,0.0858,-6.77,119.943,0.059,4,0,0.0,2,Happy
5MYfpFJYm8WNFGssR6H2Oz,acoustic,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,0.192,0.188,0.929,0.547,0.714,-10.676,135.657,0.036,4,1,1.2e-06,3,Sad
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217,0.722,0.548,0.0788,-10.308,87.01,0.0266,4,7,2.15e-05,3,Sad
7BzhqmRj3iOZXqMHqiifHr,acoustic,Heartbeats,Various Artists,0.316,0.15,0.974,0.552,0.0698,-16.746,87.485,0.0347,4,3,0.731,3,Sad
2I2kwyKgiiig05zX4PCSlx,acoustic,Billie Jean - Live,The Civil Wars,0.442,0.174,0.895,0.535,0.0999,-10.431,92.997,0.0712,4,4,0.0,3,Sad
1c7UYTut2SBOPq64o2t0uN,acoustic,Why Georgia,John Mayer,0.369,0.639,0.0208,0.608,0.0893,-7.205,96.915,0.0246,4,7,5.94e-05,3,Sad
34gCuhDGsG4bRPIf9bb02f,acoustic,Thinking out Loud,Ed Sheeran,0.591,0.445,0.474,0.781,0.184,-6.061,78.998,0.0295,4,2,0.0,3,Sad
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415,0.112,0.304,0.107,-10.132,50.593,0.0303,4,5,0.0,3,Sad
1cTmlIavpTMpGewqlvddOI,acoustic,Teardrop,Various Artists,0.341,0.555,0.379,0.496,0.112,-6.363,74.306,0.028,4,7,0.279,3,Sad
6WVtfUA8r0iYmQotCRVp2J,acoustic,Bette Davis Eyes,Karen Souza,0.177,0.319,0.247,0.741,0.105,-9.245,100.006,0.0296,4,0,0.0,3,Sad
384ft9nYgu5fpnbeSMXkMo,acoustic,I'm Yours - From the Casa Nova Sessions,Jason Mraz,0.517,0.208,0.9,0.518,0.0963,-10.253,140.988,0.0359,4,9,0.0,3,Sad
64kq7969WB5YTeW61hHmWf,afrobeat,Yefikir Tizita,Mulatu Astatke,0.595,0.275,0.852,0.748,0.104,-14.947,132.416,0.0475,4,1,0.912,0,Calm
4bi73jCM02fMpkI11Lqmfe,afrobeat,Ai Se Eu Te Pego - Live,Michel Teló,0.834,0.937,0.347,0.674,0.702,-4.454,96.051,0.0699,4,11,0.0,2,Happy
5F9xtYevLvP7gg8dmczbQx,afrobeat,Mali Dje,Various Artists,0.694,0.286,0.779,0.618,0.195,-16.142,101.229,0.0327,4,9,0.723,3,Sad
5ft8cAiZ0zvICdvry3Byc0,afrobeat,Olufunmi,Styl-Plus,0.749,0.676,0.444,0.608,0.0975,-8.49,113.104,0.113,4,7,0.0,2,Happy
4WcCW10tnJCljX8Fhs0FdE,afrobeat,She Wolf,Shakira,0.872,0.707,0.299,0.87,0.169,-7.136,121.966,0.0437,4,7,0.0153,2,Happy
7ha7zYOryB0rpnMTa4S75U,afrobeat,Got 2 Luv U (feat. Alexis Jordan),Sean Paul,0.647,0.793,0.0825,0.605,0.124,-3.084,184.032,0.297,4,7,0.0,1,Energetic
6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458,0.488,0.521,0.113,-10.468,93.014,0.0331,4,7,0.00397,3,Sad
6YXlr6J3nNzk7lBA9AziBY,afrobeat,Metemya - feat. Jake Shears of Scissor Sisters,Amadou & Mariam,0.808,0.85,0.248,0.449,0.297,-4.175,130.957,0.0392,4,9,0.000274,2,Happy
3LZMPBsDMfp9Z2bO60Gm8a,afrobeat,Azonto,Various Artists,0.666,0.916,0.537,0.634,0.229,-5.83,130.059,0.0534,4,7,0.0,2,Happy
4wCmqSrbyCgxEXROQE6vtV,afrobeat,Somebody That I Used To Know,Gotye,0.72,0.495,0.591,0.864,0.0992,-7.036,129.062,0.037,4,0,0.000133,2,Happy
5oLqSZBY83KCxmkqXhtmsB,afrobeat,Funky Horn,Fela Kuti,0.468,0.777,0.00867,0.508,0.317,-6.873,121.334,0.112,4,5,0.814,2,Happy
68eJ1PhtTYkMCl7oYxZW3H,afrobeat,Ekuro,Davido,0.496,0.825,0.0149,0.639,0.0553,-5.327,122.69,0.123,4,1,0.0,2,Happy
06B0pbiRWZJAfxJXu6R4wY,afrobeat,"Dorobucci (feat. Don Jazzy, Dr Sid, Dr Sid Tiwa Savage, Reekado Banks, Di'ja, Korede Bello & D'prince)",Mavins,0.481,0.736,0.242,0.571,0.186,-8.697,197.952,0.141,3,2,8.02e-06,2,Happy
5OprIO7jAo89hAeX5lpI2w,afrobeat,Yoruba,King Sunny Ade,0.963,0.544,0.52,0.629,0.165,-15.811,118.925,0.0557,4,5,0.0208,3,Sad
0x3T8PGQH5xeZ1towZqecI,afrobeat,Ndihamba Nawe,Mafikizolo,0.371,0.855,0.0474,0.747,0.0804,-4.967,109.459,0.0312,4,2,0.715,2,Happy
7yeTvvLA54txVj2LPulf9Y,afrobeat,Matadjem Yinmixan,Tinariwen,0.536,0.692,0.852,0.674,0.0543,-6.789,104.819,0.0347,4,7,0.234,2,Happy
4eLSCSELtKxZwXnFbNLXT5,afrobeat,On Top Of The World,Imagine Dragons,0.768,0.923,0.0818,0.507,0.0951,-5.581,99.252,0.173,4,0,4.63e-06,1,Energetic
6Nd9aoaL1lV3013tP5Meff,afrobeat,Black President,Eric Legnini,0.926,0.73,0.646,0.67,0.146,-7.35,103.975,0.0336,4,9,0.847,3,Sad
3AF8QpzspG8btjyd4s3bjM,afrobeat,Tchwa,Rokia Traoré,0.606,0.268,0.89,0.567,0.0962,-13.63,101.754,0.0385,4,2,0.156,3,Sad
1SV8vGscmm8g83FFSu948l,afrobeat,Ole Buruku,P-Square,0.865,0.81,0.451,0.744,0.325,-5.662,126.636,0.0482,5,9,5.75e-05,2,Happy
6O0P38dfkVUtTCRSgMEUPW,afrobeat,Tekere,Various Artists,0.95,0.91,0.312,0.779,0.0431,-7.976,112.966,0.0334,4,5,0.0415,2,Happy
7ATa1G9YTRrJtUXFHFs88z,afrobeat,I Faram Gami I Faram,Mulatu Astatke,0.908,0.502,0.935,0.744,0.915,-12.345,104.183,0.0625,4,5,0.288,3,Sad
5k3U0OGYBccHdKJJu3HrUN,afrobeat,"Hakuna Matata - From ""The Lion King"" Soundtrack",Various Artists,0.725,0.313,0.617,0.408,0.115,-18.09,170.013,0.137,4,0,1.18e-05,3,Sad
2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.768,0.579,0.705,0.536,0.107,-10.618,126.742,0.0656,4,4,0.0152,2,Happy
5qLqTZ5Z0uc893w9mqGFn2,afrobeat,Mosquito Song,Egypt 80,0.96,0.668,0.0138,0.572,0.171,-10.134,148.003,0.0477,4,2,0.113,2,Happy
074FCBEJg8ZcSTCR2SBIbO,afrobeat,Shakara (Oloje),Fela Kuti,0.599,0.713,0.271,0.646,0.226,-6.626,120.004,0.0414,4,1,0.048,2,Happy
1D7QWJ0nQ4OrLHnEJEYOhC,afrobeat,4-4-44,Youssou N'Dour,0.468,0.77,0.107,0.761,0.1,-6.035,121.965,0.0381,4,2,8.06e-05,2,Happy
2OpIkvsE5u3PTG2mf7Vipx,afrobeat,Mabasa,Oliver Mtukudzi,0.458,0.551,0.741,0.562,0.107,-8.296,166.347,0.0519,4,2,0.000109,3,Sad
2xj4fByOVkiyxcu7tluW9W,afrobeat,Samahani,Dobet Gnahoré,0.434,0.512,0.452,0.651,0.113,-12.595,112.223,0.0459,4,7,2.89e-06,3,Sad
6G4U9avyBNEfP0fAIduev3,afrobeat,Ella Y Yo - Featuring Don Omar,Aventura,0.717,0.708,0.534,0.732,0.237,-7.905,175.924,0.262,4,9,0.0,2,Happy
7qsMXB16nZTnIHmJRccWU4,afrobeat,Djole,Mamady Keïta,0.793,0.686,0.823,0.597,0.0606,-13.753,142.743,0.0426,4,2,0.075,2,Happy
5qHNCskW92UF7zOIARUtBw,afrobeat,Don't Look Back,Youssou N'Dour,0.422,0.366,0.162,0.824,0.106,-11.223,179.887,0.0377,4,10,0.0346,3,Sad
3nx9M0vBIrVSYUSKhOARkO,afrobeat,Djessimidjeka,DJ Arafat,0.719,0.907,0.357,0.496,0.131,-3.994,134.975,0.0992,4,5,0.0,1,Energetic
5xyHKMREElSvYLz37w3fIE,afrobeat,Arawan,Tinariwen,0.216,0.395,0.733,0.659,0.101,-14.074,85.046,0.0902,4,9,0.0,3,Sad
5xH0qbaqtzc2onO0XC2Ywu,afrobeat,Bonde,Ali Farka Touré,0.553,0.532,0.712,0.514,0.0816,-17.026,113.821,0.0936,4,2,0.00523,3,Sad
2YvGLm7HGIRwzH1pgQDmRP,afrobeat,Secret Agent,Tony Allen,0.95,0.604,0.28,0.721,0.225,-10.224,119.98,0.0302,4,10,0.216,2,Happy
42VSs4OYLqrRN3XhxnCq1i,afrobeat,Saramaya,Habib Koité,0.808,0.75,0.695,0.797,0.155,-8.038,113.671,0.0345,4,2,0.258,2,Happy
0fSxmn4Sq2bfzKemOGeQv0,afrobeat,Madan - Remixed by Gekko,Salif Keita,0.632,0.817,0.414,0.741,0.124,-8.957,129.951,0.0408,4,5,0.115,2,Happy
6hOTreO6Wm7Con3alDgL2i,afrobeat,Mogo Te Diya Bee Ye,Oumou Sangaré,0.709,0.498,0.158,0.727,0.0899,-8.321,114.42,0.125,4,10,0.0,2,Happy
6uUS2GsTLT0PCm55YNlLuZ,afrobeat,Vana-Va-Ndota,Ghorwane,0.829,0.802,0.387,0.65,0.103,-6.881,89.958,0.17,4,4,5.45e-06,2,Happy
5CFdHtJAlGttkKbAJjJEV7,afrobeat,Juru nani - feat. Kasse Mady Diabate,Bassekou Kouyate,0.925,0.59,0.595,0.691,0.093,-7.957,137.491,0.0346,4,0,0.251,2,Happy
7jAfqMJAQuObNZmXdd6BzK,afrobeat,Mbote Ya Pamba,Kékélé,0.828,0.725,0.799,0.752,0.0962,-6.33,144.032,0.0305,4,4,0.000218,2,Happy
6Q88lFBi0y9mYEQCNWKpQr,afrobeat,Mouvement (Dunya),Youssou N'Dour,0.909,0.811,0.29,0.699,0.108,-9.409,126.964,0.0542,4,7,0.397,2,Happy
2tKqgQjnGgcPNTDViorQyU,afrobeat,Utrus Horas,Orchestra Baobab,0.617,0.266,0.828,0.725,0.303,-15.384,86.727,0.0403,4,2,0.000531,3,Sad
3bidbhpOYeV4knp8AIu8Xn,afrobeat,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.847,0.922,0.0291,0.641,0.0862,-4.457,146.078,0.0786,4,2,0.0,1,Energetic
2eepRxzqOynKv8WObUtfTa,afrobeat,Slow Down (feat. Wizkid),R2Bees,0.673,0.728,0.0921,0.513,0.278,-2.985,137.625,0.407,5,8,0.0,1,Energetic
5KgU4lp0870zryRc3BEeDN,afrobeat,Roforofo Fight,Fela Kuti,0.751,0.9,0.0803,0.621,0.0587,-5.947,123.831,0.0507,4,10,0.00316,1,Energetic
20xuHeZxFvNZtX8bXnwd9M,afrobeat,Bouger bouger,Magic System,0.954,0.916,0.124,0.815,0.474,-4.002,128.054,0.236,4,6,0.0,2,Happy
3Ua7O14g34JlkpisL2SKLk,afrobeat,Sinebar,Youssou N'Dour,0.638,0.895,0.175,0.525,0.221,-10.749,147.317,0.0796,4,7,0.0048,2,Happy
2OuR1hZQQBk2GTo5cDtw2R,afrobeat,Baby Oku,Flavour,0.883,0.865,0.549,0.709,0.0688,-4.258,95.023,0.0363,4,0,0.0,2,Happy
3SMDdwKyNonQwvCYoiFuBn,alt-rock,Crazy Lady,The Vaselines,0.737,0.817,0.000475,0.37,0.255,-8.346,123.619,0.0358,4,11,0.147,2,Happy
0zkeldXjpt1at56SVnbChF,alt-rock,I Stand Alone,Godsmack,0.353,0.914,6.74e-05,0.301,0.12,-4.465,111.052,0.0761,5,0,0.0,1,Energetic
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884,0.0589,0.415,0.287,-4.02,113.128,0.0513,4,0,0.848,2,Happy
6DzrElyy0I3nqqInJRPXfz,alt-rock,Houston Hades,Stephen Malkmus & The Jicks,0.692,0.525,0.246,0.643,0.098,-9.3,92.738,0.0305,4,9,0.0112,2,Happy
08a6PhXyXeN3lv1DCKW9qY,alt-rock,Do You,Spoon,0.948,0.936,0.0756,0.674,0.192,-2.166,128.083,0.0271,4,4,0.000748,2,Happy
797NMFvQ1wbPr18I6VEgPz,alt-rock,I Will,Sebadoh,0.671,0.859,0.00237,0.333,0.0854,-4.548,80.082,0.0335,4,0,0.000612,1,Energetic
3ygfz94pyD2h9rLTQu8BJw,alt-rock,Nothing Left to Lose,Wipers,0.723,0.593,0.0116,0.498,0.116,-10.751,154.279,0.0341,4,0,0.436,2,Happy
0CZ48zSBAXNplab4I4T4NN,alt-rock,Total Immersion,Polvo,0.477,0.867,0.000332,0.399,0.117,-6.71,127.678,0.0336,4,2,0.395,3,Sad
4ryq4K6ZKg7MGptYlL7ES2,alt-rock,Jokerman,Various Artists,0.465,0.876,0.011,0.369,0.328,-7.544,142.314,0.0526,4,9,6.9e-06,2,Happy
5CCHfpaujMGW3JfAmxWWT9,alt-rock,Tempest,Deftones,0.0549,0.798,0.00148,0.343,0.11,-5.962,147.769,0.0545,4,9,0.000344,1,Energetic
5h6OsJ1AakY9X9kflQwaMS,alt-rock,X-French Tee Shirt,Shudder To Think,0.358,0.558,0.0251,0.507,0.168,-6.929,177.268,0.0455,4,10,7.9e-05,2,Happy
3z5ggGtcs4t8pizW521gW9,alt-rock,Pretend We're Dead,L7,0.911,0.789,5.62e-06,0.569,0.0811,-8.559,115.152,0.0309,4,4,0.642,2,Happy
51qDSqAzAOwL7OQitYFCw9,alt-rock,High Tide Low Tide,The Vaselines,0.624,0.947,0.00113,0.299,0.331,-6.949,158.238,0.0603,4,4,0.261,1,Energetic
4asjU3sDnn3002bTJIg2vZ,alt-rock,Missed the Boat,Modest Mouse,0.852,0.698,0.0697,0.71,0.478,-5.797,104.007,0.0332,4,2,0.0,2,Happy
0AHLmGeECGsB8oZT4mMFF1,alt-rock,Longtime Sunshine,Rivers Cuomo,0.156,0.436,0.234,0.591,0.279,-7.037,75.569,0.0253,4,2,0.00258,3,Sad
1lL8ttg9HNdyuN0VxD7c75,alt-rock,Photograph,The Verve Pipe,0.316,0.756,0.00156,0.47,0.135,-6.524,167.889,0.0489,4,2,0.0091,2,Happy
2dzcZ4JTt4G63ZkIElVmrm,alt-rock,Love Comes in Waves,Fastball,0.91,0.872,0.0616,0.657,0.196,-4.858,167.896,0.0399,4,2,6.22e-05,2,Happy
18eR1w9NXigoppVRpdc4yk,alt-rock,Da Vinci,Weezer,0.578,0.631,0.0651,0.558,0.215,-4.566,126.063,0.0569,4,11,0.0444,1,Energetic
4GiVcDqNQI0fc0yYuRGH9m,alt-rock,Inside Out,Eve 6,0.691,0.818,0.114,0.483,0.367,-7.666,175.668,0.0444,4,11,0.0,2,Happy
48sJGpBLqQTs0sZ2ImHJof,alt-rock,Popular,Nada Surf,0.296,0.884,0.00751,0.444,0.116,-6.104,94.82,0.119,4,7,8.94e-05,1,Energetic
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.494,0.106,0.566,0.133,-12.242,96.641,0.0619,4,10,0.179,2,Happy
084eENRLEaLFYb74I5uUCZ,alt-rock,Last Night I Dreamt That Somebody Loved Me - 2008 Remaster,The Smiths,0.136,0.751,0.00401,0.216,0.0829,-6.042,201.306,0.0363,3,4,1.82e-05,1,Energetic
0Qs72vhVJ10C7lsyzRCTuA,alt-rock,Strut,Lenny Kravitz,0.891,0.884,0.151,0.773,0.0437,-4.655,113.019,0.039,4,11,4.55e-06,2,Happy
7EN1yrHIU5VTK3e7oBO715,alt-rock,Runaway,Self,0.407,0.629,0.0327,0.683,0.147,-7.654,96.989,0.0279,4,1,4.06e-05,3,Sad
2lwwrWVKdf3LR9lbbhnr6R,alt-rock,Float On,Modest Mouse,0.553,0.888,0.013,0.649,0.0888,-4.807,100.975,0.0293,4,6,2.23e-06,2,Happy
0XZwpwtV9Vk48Ykzb7KIsj,alt-rock,Energy,The Apples In Stereo,0.637,0.867,0.0705,0.292,0.439,-4.862,210.488,0.0861,4,6,2.84e-05,1,Energetic
4v1ETu9iDDUZzNzRgM3hcR,alt-rock,Now It's On,Grandaddy,0.375,0.596,0.0119,0.619,0.166,-8.827,128.279,0.0291,4,9,0.000784,2,Happy
5fxfwjQ1OmbnkOlg39HsSO,alt-rock,I Got A Girl,Tripping Daisy,0.686,0.838,0.00968,0.617,0.105,-8.577,134.639,0.0498,4,7,0.0,2,Happy
4teinH3IrEdjp8ZYHb59ca,alt-rock,Fuzzy,Grant Lee Buffalo,0.104,0.401,0.128,0.56,0.0879,-8.048,82.29,0.0228,4,5,0.0,3,Sad
0ecuZefr04QYl0cGpT53Nz,alt-rock,Cut You In,Jerry Cantrell,0.725,0.742,0.225,0.632,0.138,-6.785,119.509,0.0342,4,10,0.00115,2,Happy
1B0l7bAVCezozz0gVa1dZA,alt-rock,Big Words Make The Baby Jesus Cry,The Dead Milkmen,0.734,0.882,0.28,0.632,0.267,-5.668,130.417,0.0381,4,9,2.79e-06,2,Happy
5ghFbwhZ3zySF7CkXL9XAK,alt-rock,Man in the Box,Alice In Chains,0.675,0.854,0.00144,0.339,0.0942,-4.577,106.145,0.0493,4,8,0.0,1,Energetic
6JqmArpMrkb125GqWsBAPg,alt-rock,Central,John Frusciante,0.149,0.575,0.367,0.222,0.216,-8.251,111.685,0.0379,4,9,0.000159,3,Sad
4E6YM4V7Kz6zpbiNsliwEl,alt-rock,Just Like Honey,The Jesus and Mary Chain,0.535,0.437,0.000231,0.321,0.0836,-15.836,122.74,0.0447,4,8,0.0252,3,Sad
2JjbpuHG9MtaqyAXfZkLxG,alt-rock,Oh,Sleater-Kinney,0.548,0.947,0.145,0.333,0.0937,-4.289,148.77,0.103,4,6,0.0,1,Energetic
1M4Y4G5ipfQDYe5gbob4nQ,alt-rock,You Know My Name,Courtney Love,0.0603,0.989,0.000178,0.472,0.188,-6.677,112.401,0.136,4,4,0.00999,1,Energetic
4z4PB23xYTg1oANmyZovsw,alt-rock,Why Can't I?,Liz Phair,0.227,0.759,0.0273,0.487,0.165,-4.849,80.958,0.0405,4,11,0.0,1,Energetic
5s8zZQ9G7XOoJygkfCHQ2h,alt-rock,Where I'm From,Eels,0.743,0.538,0.601,0.576,0.189,-12.882,107.018,0.0314,4,5,0.0704,3,Sad
0QXSKayRWtfxMKHJxVurkZ,alt-rock,Rebel Beat,The Goo Goo Dolls,0.63,0.879,0.00852,0.493,0.253,-4.029,177.937,0.0326,4,6,0.0,1,Energetic
5Wom2duXOmf0RzOG9c27QZ,alt-rock,You and Me,Luscious Jackson,0.828,0.773,0.000185,0.724,0.286,-8.545,114.023,0.0521,4,4,0.241,2,Happy
3G0kzHUQGkhgWurrYEOQKd,alt-rock,Yesterday Once More,Various Artists,0.44,0.803,0.00392,0.339,0.112,-6.038,97.711,0.0354,4,6,9.61e-06,3,Sad
6tb7flAIRdJVuUfdgwbhJa,alt-rock,Tahitian Moon,Perry Farrell,0.35,0.716,0.000285,0.374,0.195,-8.656,136.757,0.034,4,7,0.00111,2,Happy
3dZPApIwDKTgxoqBCb2aQZ,alt-rock,Do The Panic,Various Artists,0.794,0.608,0.00986,0.629,0.106,-11.539,133.029,0.0467,4,1,1.3e-06,2,Happy
4Az4FAhbPQ8PcT7BtuCfJh,alt-rock,Only Run,Clap Your Hands Say Yeah,0.196,0.84,0.268,0.449,0.337,-3.228,153.333,0.0581,4,1,0.0138,2,Happy
7jFcGF9helhe48IzrfOpdw,alt-rock,E.N.D.,The Magic Numbers,0.734,0.567,0.0109,0.635,0.152,-8.118,121.959,0.0293,4,9,8.28e-05,2,Happy
